Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
134134.png,228020.0,68.0,36.0,2276.0,0.9995441075906086,-1.0,-1.0,-1.0,-1.0,1689.0,38.0,108.0,228565.0,0.9204359673024524,-1.0,-1.0,-1.0,-1.0,543.0,42.0,4.0,229811.0,0.9219015280135824,-1.0,-1.0,-1.0,-1.0
134135.png,228020.0,79.0,37.0,2264.0,0.9994915313672547,-1.0,-1.0,-1.0,-1.0,1679.0,41.0,125.0,228555.0,0.9100271002710028,-1.0,-1.0,-1.0,-1.0,534.0,47.0,5.0,229814.0,0.9112627986348123,-1.0,-1.0,-1.0,-1.0
134136.png,227979.0,86.0,34.0,2301.0,0.9994739126431944,-1.0,-1.0,-1.0,-1.0,1720.0,40.0,116.0,228524.0,0.9168443496801706,-1.0,-1.0,-1.0,-1.0,539.0,36.0,12.0,229813.0,0.9182282793867121,-1.0,-1.0,-1.0,-1.0
134155.png,228473.0,54.0,43.0,1830.0,0.9995756223476396,-1.0,-1.0,-1.0,-1.0,1242.0,48.0,104.0,229006.0,0.890961262553802,-1.0,-1.0,-1.0,-1.0,533.0,50.0,5.0,229812.0,0.9064625850340136,-1.0,-1.0,-1.0,-1.0
134156.png,228489.0,43.0,61.0,1807.0,0.9995450429365729,-1.0,-1.0,-1.0,-1.0,1210.0,64.0,107.0,229019.0,0.8761766835626358,-1.0,-1.0,-1.0,-1.0,530.0,64.0,3.0,229803.0,0.8877721943048577,-1.0,-1.0,-1.0,-1.0
134157.png,227997.0,65.0,58.0,2280.0,0.9994608100999474,-1.0,-1.0,-1.0,-1.0,1562.0,60.0,94.0,228684.0,0.9102564102564102,-1.0,-1.0,-1.0,-1.0,687.0,29.0,2.0,229682.0,0.9568245125348189,-1.0,-1.0,-1.0,-1.0
134158.png,229201.0,46.0,45.0,1108.0,0.9996031261448284,-1.0,-1.0,-1.0,-1.0,839.0,46.0,63.0,229452.0,0.8850210970464135,-1.0,-1.0,-1.0,-1.0,247.0,21.0,5.0,230127.0,0.9047619047619048,-1.0,-1.0,-1.0,-1.0
134159.png,228072.0,86.0,24.0,2218.0,0.9995179286709732,-1.0,-1.0,-1.0,-1.0,1485.0,24.0,155.0,228736.0,0.8924278846153846,-1.0,-1.0,-1.0,-1.0,664.0,69.0,0.0,229667.0,0.9058663028649386,-1.0,-1.0,-1.0,-1.0
134160.png,228638.0,53.0,43.0,1666.0,0.9995802985126828,-1.0,-1.0,-1.0,-1.0,1134.0,63.0,115.0,229088.0,0.864329268292683,-1.0,-1.0,-1.0,-1.0,450.0,62.0,20.0,229868.0,0.8458646616541353,-1.0,-1.0,-1.0,-1.0
134263.png,229841.0,65.0,14.0,480.0,0.9996564022268615,-1.0,-1.0,-1.0,-1.0,408.0,18.0,58.0,229916.0,0.8429752066115702,-1.0,-1.0,-1.0,-1.0,68.0,0.0,11.0,230321.0,0.8607594936708861,-1.0,-1.0,-1.0,-1.0
134264.png,229623.0,37.0,22.0,718.0,0.9997431231006348,-1.0,-1.0,-1.0,-1.0,568.0,22.0,64.0,229746.0,0.8685015290519877,-1.0,-1.0,-1.0,-1.0,117.0,33.0,6.0,230244.0,0.75,-1.0,-1.0,-1.0,-1.0
134265.png,230156.0,16.0,24.0,204.0,0.9998262350344923,-1.0,-1.0,-1.0,-1.0,178.0,30.0,17.0,230175.0,0.7911111111111111,-1.0,-1.0,-1.0,-1.0,18.0,2.0,7.0,230373.0,0.6666666666666666,-1.0,-1.0,-1.0,-1.0
134266.png,229319.0,71.0,8.0,1002.0,0.9996556203628628,-1.0,-1.0,-1.0,-1.0,786.0,9.0,95.0,229510.0,0.8831460674157303,-1.0,-1.0,-1.0,-1.0,187.0,28.0,5.0,230180.0,0.85,-1.0,-1.0,-1.0,-1.0
