Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
085078.png,222267.0,80.0,68.0,7985.0,0.9993345772542319,-1.0,-1.0,-1.0,-1.0,5624.0,93.0,136.0,224547.0,0.960874765077738,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2211.0,125.0,94.0,227970.0,0.9098765432098765,-1.0,-1.0,-1.0,-1.0
085079.png,220091.0,523.0,69.0,9717.0,0.9973174191034199,-1.0,-1.0,-1.0,-1.0,7599.0,94.0,184.0,222523.0,0.9647073759045321,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2009.0,84.0,448.0,227859.0,0.790633608815427,-1.0,-1.0,-1.0,-1.0
085080.png,216874.0,115.0,138.0,13273.0,0.9988347833295721,-1.0,-1.0,-1.0,-1.0,9158.0,112.0,134.0,220996.0,0.9738409187579753,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4004.0,137.0,92.0,226167.0,0.9459012520670919,-1.0,-1.0,-1.0,-1.0
085126.png,222014.0,83.0,203.0,8100.0,0.9987134502923977,-1.0,-1.0,-1.0,-1.0,6322.0,225.0,109.0,223744.0,0.9498197115384616,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1669.0,87.0,83.0,228561.0,0.9075584556824361,-1.0,-1.0,-1.0,-1.0
085127.png,226264.0,52.0,123.0,3961.0,0.9992271649318359,-1.0,-1.0,-1.0,-1.0,3796.0,177.0,32.0,226395.0,0.9478152309612984,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,95.0,16.0,90.0,230199.0,0.472636815920398,-1.0,-1.0,-1.0,-1.0
085128.png,212460.0,125.0,218.0,17597.0,0.9983881806177545,-1.0,-1.0,-1.0,-1.0,8842.0,258.0,120.0,221180.0,0.959002169197397,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,8578.0,137.0,182.0,221503.0,0.9641452174890413,-1.0,-1.0,-1.0,-1.0
085129.png,224729.0,21.0,96.0,5554.0,0.9994796438451207,-1.0,-1.0,-1.0,-1.0,5554.0,96.0,21.0,224729.0,0.9793687180391465,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
085130.png,218778.0,30.0,183.0,11409.0,0.9990273572886557,-1.0,-1.0,-1.0,-1.0,9139.0,241.0,66.0,220954.0,0.9674994706754182,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2130.0,82.0,104.0,228084.0,0.9196891191709845,-1.0,-1.0,-1.0,-1.0
085131.png,225675.0,6.0,99.0,4620.0,0.9995349455221897,-1.0,-1.0,-1.0,-1.0,4591.0,108.0,5.0,225696.0,0.9759778911564626,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,17.0,3.0,13.0,230367.0,0.5151515151515151,-1.0,-1.0,-1.0,-1.0
085132.png,201772.0,134.0,242.0,28252.0,0.9981399766507707,-1.0,-1.0,-1.0,-1.0,16976.0,226.0,125.0,213073.0,0.9797425982570555,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,11110.0,182.0,175.0,218933.0,0.9688671840934856,-1.0,-1.0,-1.0,-1.0
085133.png,216035.0,17.0,325.0,14023.0,0.9984194253548205,-1.0,-1.0,-1.0,-1.0,10487.0,327.0,56.0,219530.0,0.9647654093836247,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3417.0,117.0,80.0,226786.0,0.9454897620365246,-1.0,-1.0,-1.0,-1.0
085134.png,218506.0,129.0,221.0,11544.0,0.9984007749387726,-1.0,-1.0,-1.0,-1.0,8326.0,243.0,150.0,221681.0,0.9549260236265626,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3105.0,91.0,92.0,227112.0,0.9443430656934306,-1.0,-1.0,-1.0,-1.0
085135.png,222492.0,27.0,106.0,7775.0,0.9994025828186412,-1.0,-1.0,-1.0,-1.0,7237.0,256.0,18.0,222889.0,0.9635201704167221,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,374.0,14.0,173.0,229839.0,0.6666666666666666,-1.0,-1.0,-1.0,-1.0
085136.png,206397.0,132.0,179.0,23692.0,0.998495462197883,-1.0,-1.0,-1.0,-1.0,13533.0,150.0,46.0,216671.0,0.9857236506664724,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,10060.0,128.0,185.0,220027.0,0.9698255085317652,-1.0,-1.0,-1.0,-1.0
085137.png,215714.0,83.0,153.0,14450.0,0.9989071544338968,-1.0,-1.0,-1.0,-1.0,11831.0,169.0,152.0,218248.0,0.9735845951283739,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2482.0,121.0,68.0,227729.0,0.9292399850243355,-1.0,-1.0,-1.0,-1.0
085138.png,221743.0,108.0,210.0,8339.0,0.998567961055746,-1.0,-1.0,-1.0,-1.0,3343.0,188.0,102.0,226767.0,0.9201761629507295,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4884.0,134.0,118.0,225264.0,0.9509345794392523,-1.0,-1.0,-1.0,-1.0
085139.png,213487.0,115.0,140.0,16658.0,0.9988069728925527,-1.0,-1.0,-1.0,-1.0,13541.0,156.0,202.0,216501.0,0.9742427512770703,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2954.0,147.0,76.0,227223.0,0.9298079949638023,-1.0,-1.0,-1.0,-1.0
085140.png,218176.0,54.0,220.0,11950.0,0.9987457084000916,-1.0,-1.0,-1.0,-1.0,7800.0,160.0,79.0,222361.0,0.9702699340714019,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4063.0,147.0,62.0,226128.0,0.9510767790262172,-1.0,-1.0,-1.0,-1.0
085186.png,207111.0,165.0,133.0,22991.0,0.9985632253180913,-1.0,-1.0,-1.0,-1.0,7742.0,139.0,90.0,222429.0,0.9712708568561034,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,15146.0,97.0,178.0,214979.0,0.9821671746319953,-1.0,-1.0,-1.0,-1.0
085187.png,216705.0,75.0,135.0,13485.0,0.9990318788465528,-1.0,-1.0,-1.0,-1.0,7080.0,116.0,105.0,223099.0,0.9697301739487741,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,6292.0,132.0,83.0,223893.0,0.966958659904718,-1.0,-1.0,-1.0,-1.0
085188.png,210792.0,129.0,219.0,19260.0,0.9983518044899119,-1.0,-1.0,-1.0,-1.0,12210.0,110.0,110.0,217970.0,0.9823008849557522,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,6933.0,226.0,136.0,223105.0,0.9503769705277587,-1.0,-1.0,-1.0,-1.0
085189.png,218295.0,121.0,110.0,11874.0,0.9989429175475687,-1.0,-1.0,-1.0,-1.0,7740.0,84.0,73.0,222503.0,0.980119032544004,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4081.0,79.0,101.0,226139.0,0.9577563952123914,-1.0,-1.0,-1.0,-1.0
085190.png,222328.0,96.0,62.0,7914.0,0.9992898429564108,-1.0,-1.0,-1.0,-1.0,4749.0,108.0,89.0,225454.0,0.9601698342094622,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3040.0,79.0,132.0,227149.0,0.9350968932636112,-1.0,-1.0,-1.0,-1.0
085191.png,217301.0,88.0,107.0,12904.0,0.9991034317872513,-1.0,-1.0,-1.0,-1.0,8818.0,102.0,104.0,221376.0,0.9771719858156028,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3984.0,107.0,86.0,226223.0,0.9537945894182428,-1.0,-1.0,-1.0,-1.0
085192.png,215047.0,115.0,118.0,15120.0,0.9989176885916017,-1.0,-1.0,-1.0,-1.0,9169.0,127.0,108.0,220996.0,0.9750106337728626,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,5844.0,98.0,114.0,224344.0,0.964993394980185,-1.0,-1.0,-1.0,-1.0
085193.png,211484.0,129.0,168.0,18619.0,0.9985976079062805,-1.0,-1.0,-1.0,-1.0,5098.0,152.0,81.0,225069.0,0.9562933783530294,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,13445.0,92.0,124.0,216739.0,0.9841885659907766,-1.0,-1.0,-1.0,-1.0
