Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
005489.png,228284.0,9.0,199.0,1908.0,0.9990896836650736,-1.0,-1.0,-1.0,-1.0,1807.0,218.0,8.0,228367.0,0.8888342351205115,-1.0,-1.0,-1.0,-1.0,80.0,2.0,15.0,230303.0,0.8247422680412371,-1.0,-1.0,-1.0,-1.0,0.0,0.0,7.0,230393.0,0.0,-1.0,-1.0,-1.0,-1.0
005490.png,225745.0,29.0,71.0,4555.0,0.9995572184462795,-1.0,-1.0,-1.0,-1.0,1863.0,30.0,162.0,228345.0,0.9065693430656935,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2547.0,186.0,12.0,227655.0,0.9278688524590164,-1.0,-1.0,-1.0,-1.0
005536.png,218636.0,176.0,159.0,11429.0,0.9984701170474629,-1.0,-1.0,-1.0,-1.0,2207.0,45.0,58.0,228090.0,0.9554112554112554,-1.0,-1.0,-1.0,-1.0,1793.0,63.0,26.0,228518.0,0.9527098831030818,-1.0,-1.0,-1.0,-1.0,7342.0,138.0,179.0,222741.0,0.9586107846977412,-1.0,-1.0,-1.0,-1.0
005537.png,224928.0,81.0,81.0,5310.0,0.999280287884846,-1.0,-1.0,-1.0,-1.0,1990.0,53.0,19.0,228338.0,0.965082444228904,-1.0,-1.0,-1.0,-1.0,100.0,14.0,20.0,230266.0,0.746268656716418,-1.0,-1.0,-1.0,-1.0,3172.0,62.0,90.0,227076.0,0.9542719614921781,-1.0,-1.0,-1.0,-1.0
005538.png,217323.0,154.0,175.0,12748.0,0.9984884126954956,-1.0,-1.0,-1.0,-1.0,1534.0,68.0,38.0,228760.0,0.9353658536585366,-1.0,-1.0,-1.0,-1.0,2161.0,69.0,14.0,228156.0,0.9630124777183601,-1.0,-1.0,-1.0,-1.0,8966.0,125.0,189.0,221120.0,0.9661637931034482,-1.0,-1.0,-1.0,-1.0
005539.png,224480.0,68.0,1067.0,4785.0,0.9949693061188307,-1.0,-1.0,-1.0,-1.0,3329.0,1043.0,32.0,225996.0,0.7559037238873751,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1450.0,30.0,42.0,228878.0,0.9526938239159002,-1.0,-1.0,-1.0,-1.0
005540.png,216008.0,177.0,171.0,14044.0,0.9983915398694744,-1.0,-1.0,-1.0,-1.0,2947.0,43.0,83.0,227327.0,0.958997722095672,-1.0,-1.0,-1.0,-1.0,2434.0,92.0,16.0,227858.0,0.957513768686074,-1.0,-1.0,-1.0,-1.0,8563.0,136.0,178.0,221523.0,0.9646276895347528,-1.0,-1.0,-1.0,-1.0
005541.png,222146.0,98.0,88.0,8068.0,0.9991634132738427,-1.0,-1.0,-1.0,-1.0,2142.0,47.0,66.0,228145.0,0.9498891352549889,-1.0,-1.0,-1.0,-1.0,315.0,18.0,26.0,230041.0,0.8774373259052924,-1.0,-1.0,-1.0,-1.0,5525.0,109.0,92.0,224674.0,0.9648969612294795,-1.0,-1.0,-1.0,-1.0
005542.png,219136.0,141.0,175.0,10948.0,0.9985600495780399,-1.0,-1.0,-1.0,-1.0,1887.0,36.0,51.0,228426.0,0.9559270516717325,-1.0,-1.0,-1.0,-1.0,1647.0,67.0,22.0,228664.0,0.9487327188940092,-1.0,-1.0,-1.0,-1.0,7333.0,153.0,149.0,222765.0,0.960445317616241,-1.0,-1.0,-1.0,-1.0
005543.png,217486.0,133.0,257.0,12524.0,0.9982099910040574,-1.0,-1.0,-1.0,-1.0,1186.0,57.0,77.0,229080.0,0.8984848484848484,-1.0,-1.0,-1.0,-1.0,2241.0,71.0,14.0,228074.0,0.9634565778159931,-1.0,-1.0,-1.0,-1.0,8987.0,239.0,152.0,221022.0,0.9583066751972702,-1.0,-1.0,-1.0,-1.0
