Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
046500.png,225890.0,146.0,111.0,4253.0,0.9988635710400757,-1.0,-1.0,-1.0,-1.0,549.0,75.0,62.0,229714.0,0.8002915451895044,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3645.0,95.0,143.0,226517.0,0.9387071851661086,-1.0,-1.0,-1.0,-1.0
046756.png,228983.0,83.0,60.0,1274.0,0.9993758892487103,-1.0,-1.0,-1.0,-1.0,140.0,5.0,221.0,230034.0,0.3825136612021858,-1.0,-1.0,-1.0,-1.0,0.0,86.0,0.0,230314.0,0.0,-1.0,-1.0,-1.0,-1.0,944.0,159.0,52.0,229245.0,0.8173160173160173,-1.0,-1.0,-1.0,-1.0
046757.png,229304.0,54.0,36.0,1006.0,0.9996076619266415,-1.0,-1.0,-1.0,-1.0,259.0,58.0,205.0,229878.0,0.49616858237547895,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,510.0,215.0,86.0,229589.0,0.6288532675709001,-1.0,-1.0,-1.0,-1.0
046758.png,228502.0,57.0,875.0,966.0,0.9959378296154886,-1.0,-1.0,-1.0,-1.0,7.0,800.0,195.0,229398.0,0.006986027944111776,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,793.0,241.0,28.0,229338.0,0.7467043314500942,-1.0,-1.0,-1.0,-1.0
046759.png,227975.0,99.0,97.0,2229.0,0.9991409951308449,-1.0,-1.0,-1.0,-1.0,623.0,74.0,58.0,229645.0,0.8251655629139073,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1518.0,111.0,129.0,228642.0,0.863481228668942,-1.0,-1.0,-1.0,-1.0
046760.png,226683.0,103.0,59.0,3555.0,0.9992858559809562,-1.0,-1.0,-1.0,-1.0,1014.0,14.0,36.0,229336.0,0.9530075187969925,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2513.0,73.0,95.0,227719.0,0.9373368146214099,-1.0,-1.0,-1.0,-1.0
046761.png,228117.0,114.0,87.0,2082.0,0.9991196489107298,-1.0,-1.0,-1.0,-1.0,365.0,8.0,77.0,229950.0,0.8111111111111111,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1655.0,141.0,99.0,228505.0,0.8733509234828496,-1.0,-1.0,-1.0,-1.0
046762.png,228775.0,51.0,45.0,1529.0,0.9995805497419944,-1.0,-1.0,-1.0,-1.0,433.0,20.0,92.0,229855.0,0.7944954128440367,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1019.0,102.0,36.0,229243.0,0.8807260155574762,-1.0,-1.0,-1.0,-1.0
046763.png,227354.0,86.0,68.0,2892.0,0.9993231007261283,-1.0,-1.0,-1.0,-1.0,721.0,34.0,71.0,229574.0,0.8728813559322034,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2119.0,86.0,67.0,228128.0,0.9326584507042254,-1.0,-1.0,-1.0,-1.0
046764.png,227727.0,61.0,45.0,2567.0,0.999534746941839,-1.0,-1.0,-1.0,-1.0,840.0,32.0,41.0,229487.0,0.9200438116100766,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1688.0,52.0,59.0,228601.0,0.9382990550305725,-1.0,-1.0,-1.0,-1.0
046765.png,227451.0,44.0,53.0,2852.0,0.9995737163147995,-1.0,-1.0,-1.0,-1.0,29.0,10.0,183.0,230178.0,0.13063063063063063,-1.0,-1.0,-1.0,-1.0,0.0,23.0,0.0,230377.0,0.0,-1.0,-1.0,-1.0,-1.0,2657.0,186.0,27.0,227530.0,0.9257839721254355,-1.0,-1.0,-1.0,-1.0
046766.png,225861.0,108.0,82.0,4349.0,0.9991594817098797,-1.0,-1.0,-1.0,-1.0,937.0,11.0,69.0,229383.0,0.9213372664700098,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3373.0,110.0,78.0,226839.0,0.9472058410558831,-1.0,-1.0,-1.0,-1.0
046767.png,225977.0,107.0,85.0,4231.0,0.9991510772917597,-1.0,-1.0,-1.0,-1.0,480.0,28.0,69.0,229823.0,0.8318890814558059,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3692.0,116.0,97.0,226495.0,0.9454545454545454,-1.0,-1.0,-1.0,-1.0
046768.png,228434.0,32.0,63.0,1871.0,0.9995842978352857,-1.0,-1.0,-1.0,-1.0,121.0,9.0,201.0,230069.0,0.36555891238670696,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1557.0,247.0,24.0,228572.0,0.8517505470459519,-1.0,-1.0,-1.0,-1.0
046769.png,227750.0,125.0,105.0,2420.0,0.9989911395736468,-1.0,-1.0,-1.0,-1.0,575.0,24.0,50.0,229751.0,0.8859784283513097,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1803.0,123.0,117.0,228357.0,0.882525697503671,-1.0,-1.0,-1.0,-1.0
046770.png,226384.0,114.0,77.0,3825.0,0.9991570120269226,-1.0,-1.0,-1.0,-1.0,567.0,34.0,75.0,229724.0,0.8387573964497042,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3193.0,108.0,104.0,226995.0,0.9377386196769457,-1.0,-1.0,-1.0,-1.0
