Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
039627.png,222062.0,77.0,112.0,8149.0,0.9991496101254888,-1.0,-1.0,-1.0,-1.0,908.0,39.0,55.0,229398.0,0.906187624750499,-1.0,-1.0,-1.0,-1.0,417.0,25.0,9.0,229949.0,0.9246119733924612,-1.0,-1.0,-1.0,-1.0,6764.0,108.0,73.0,223455.0,0.9739380849532038,-1.0,-1.0,-1.0,-1.0
039628.png,227568.0,39.0,68.0,2725.0,0.9995300318436368,-1.0,-1.0,-1.0,-1.0,457.0,82.0,80.0,229781.0,0.7382875605815832,-1.0,-1.0,-1.0,-1.0,242.0,58.0,2.0,230098.0,0.8013245033112583,-1.0,-1.0,-1.0,-1.0,1910.0,44.0,73.0,228373.0,0.9422792303897385,-1.0,-1.0,-1.0,-1.0
039629.png,227785.0,550.0,59.0,2006.0,0.9973335551722025,-1.0,-1.0,-1.0,-1.0,11.0,34.0,461.0,229894.0,0.021739130434782608,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,230399.0,0.0,-1.0,-1.0,-1.0,-1.0,1994.0,26.0,89.0,228291.0,0.9454717875770507,-1.0,-1.0,-1.0,-1.0
039630.png,227822.0,58.0,60.0,2460.0,0.9994823199087479,-1.0,-1.0,-1.0,-1.0,726.0,105.0,13.0,229556.0,0.8601895734597157,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1660.0,29.0,119.0,228592.0,0.918141592920354,-1.0,-1.0,-1.0,-1.0
039676.png,226160.0,69.0,225.0,3946.0,0.9987017230872495,-1.0,-1.0,-1.0,-1.0,807.0,77.0,81.0,229435.0,0.8362694300518134,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,230399.0,0.0,-1.0,-1.0,-1.0,-1.0,3039.0,248.0,87.0,227026.0,0.9007113218731476,-1.0,-1.0,-1.0,-1.0
039677.png,224386.0,147.0,81.0,5786.0,0.9989849252495392,-1.0,-1.0,-1.0,-1.0,663.0,4.0,109.0,229624.0,0.854381443298969,-1.0,-1.0,-1.0,-1.0,336.0,30.0,8.0,230026.0,0.8983957219251337,-1.0,-1.0,-1.0,-1.0,4733.0,101.0,84.0,225482.0,0.9623830825538837,-1.0,-1.0,-1.0,-1.0
039678.png,228617.0,78.0,59.0,1646.0,0.9994011033686843,-1.0,-1.0,-1.0,-1.0,615.0,27.0,66.0,229692.0,0.8686440677966102,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1015.0,48.0,28.0,229309.0,0.9303391384051329,-1.0,-1.0,-1.0,-1.0
039679.png,225527.0,171.0,41.0,4661.0,0.9990608623233026,-1.0,-1.0,-1.0,-1.0,1191.0,23.0,144.0,229042.0,0.8770250368188512,-1.0,-1.0,-1.0,-1.0,49.0,48.0,5.0,230298.0,0.4803921568627451,-1.0,-1.0,-1.0,-1.0,3347.0,44.0,96.0,226913.0,0.9598508746773731,-1.0,-1.0,-1.0,-1.0
039680.png,221517.0,241.0,65.0,8577.0,0.998620521767355,-1.0,-1.0,-1.0,-1.0,1018.0,29.0,249.0,229104.0,0.7854938271604939,-1.0,-1.0,-1.0,-1.0,456.0,93.0,46.0,229805.0,0.7663865546218488,-1.0,-1.0,-1.0,-1.0,6979.0,67.0,70.0,223284.0,0.9807476110174255,-1.0,-1.0,-1.0,-1.0
039681.png,224264.0,160.0,105.0,5871.0,0.9988197515688396,-1.0,-1.0,-1.0,-1.0,939.0,72.0,138.0,229251.0,0.8172323759791122,-1.0,-1.0,-1.0,-1.0,573.0,62.0,12.0,229753.0,0.8856259659969088,-1.0,-1.0,-1.0,-1.0,4266.0,64.0,103.0,225967.0,0.9623279945860591,-1.0,-1.0,-1.0,-1.0
039682.png,223516.0,404.0,63.0,6417.0,0.9979150203363648,-1.0,-1.0,-1.0,-1.0,766.0,27.0,325.0,229282.0,0.6851520572450805,-1.0,-1.0,-1.0,-1.0,596.0,110.0,169.0,229525.0,0.6811428571428572,-1.0,-1.0,-1.0,-1.0,4859.0,122.0,106.0,225313.0,0.9551798702575192,-1.0,-1.0,-1.0,-1.0
039683.png,224436.0,201.0,17.0,5746.0,0.9990296188805897,-1.0,-1.0,-1.0,-1.0,1256.0,4.0,310.0,228830.0,0.8,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4317.0,186.0,64.0,225833.0,0.9452594701116707,-1.0,-1.0,-1.0,-1.0
039684.png,226081.0,163.0,53.0,4103.0,0.9990455021498297,-1.0,-1.0,-1.0,-1.0,1471.0,34.0,230.0,228665.0,0.8478386167146974,-1.0,-1.0,-1.0,-1.0,24.0,79.0,0.0,230297.0,0.23300970873786409,-1.0,-1.0,-1.0,-1.0,2471.0,77.0,70.0,227782.0,0.9438502673796791,-1.0,-1.0,-1.0,-1.0
039685.png,222904.0,165.0,224.0,7107.0,0.9982578943361413,-1.0,-1.0,-1.0,-1.0,1430.0,16.0,217.0,228737.0,0.8598917618761275,-1.0,-1.0,-1.0,-1.0,0.0,254.0,1.0,230145.0,0.0,-1.0,-1.0,-1.0,-1.0,5582.0,49.0,42.0,224727.0,0.9839591045302309,-1.0,-1.0,-1.0,-1.0
039686.png,219645.0,334.0,36.0,10385.0,0.9983182964797854,-1.0,-1.0,-1.0,-1.0,1393.0,50.0,231.0,228726.0,0.8321385902031063,-1.0,-1.0,-1.0,-1.0,1204.0,62.0,150.0,228984.0,0.8502824858757062,-1.0,-1.0,-1.0,-1.0,7656.0,56.0,85.0,222603.0,0.9819161215852251,-1.0,-1.0,-1.0,-1.0
039687.png,227616.0,499.0,63.0,2222.0,0.9975370105794599,-1.0,-1.0,-1.0,-1.0,222.0,7.0,251.0,229920.0,0.4625,-1.0,-1.0,-1.0,-1.0,121.0,71.0,242.0,229966.0,0.27880184331797236,-1.0,-1.0,-1.0,-1.0,1791.0,73.0,94.0,228442.0,0.914708886618999,-1.0,-1.0,-1.0,-1.0
039688.png,223882.0,155.0,54.0,6309.0,0.9990673431775484,-1.0,-1.0,-1.0,-1.0,1663.0,97.0,216.0,228424.0,0.8415991902834008,-1.0,-1.0,-1.0,-1.0,0.0,87.0,0.0,230313.0,0.0,-1.0,-1.0,-1.0,-1.0,4452.0,64.0,133.0,225751.0,0.9576252957625295,-1.0,-1.0,-1.0,-1.0
039689.png,224522.0,131.0,77.0,5670.0,0.9990744448894229,-1.0,-1.0,-1.0,-1.0,1489.0,19.0,323.0,228569.0,0.813216821409066,-1.0,-1.0,-1.0,-1.0,25.0,38.0,2.0,230335.0,0.38461538461538464,-1.0,-1.0,-1.0,-1.0,3913.0,263.0,49.0,226175.0,0.9261538461538461,-1.0,-1.0,-1.0,-1.0
039690.png,223834.0,193.0,85.0,6288.0,0.9987595487970301,-1.0,-1.0,-1.0,-1.0,1814.0,92.0,228.0,228266.0,0.8500468603561387,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4362.0,105.0,77.0,225856.0,0.9599471830985915,-1.0,-1.0,-1.0,-1.0
