Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
033867.png,229757.0,174.0,45.0,424.0,0.9990477267193099,-1.0,-1.0,-1.0,-1.0,424.0,45.0,174.0,229757.0,0.6594090202177294,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033868.png,229610.0,48.0,133.0,609.0,0.9992123277238882,-1.0,-1.0,-1.0,-1.0,436.0,118.0,85.0,229761.0,0.6823161189358372,-1.0,-1.0,-1.0,-1.0,132.0,56.0,4.0,230208.0,0.6875,-1.0,-1.0,-1.0,-1.0
033869.png,229725.0,131.0,103.0,441.0,0.9989824273022583,-1.0,-1.0,-1.0,-1.0,309.0,101.0,191.0,229799.0,0.5141430948419301,-1.0,-1.0,-1.0,-1.0,53.0,81.0,19.0,230247.0,0.3464052287581699,-1.0,-1.0,-1.0,-1.0
033870.png,229767.0,63.0,50.0,520.0,0.9995084391856621,-1.0,-1.0,-1.0,-1.0,520.0,50.0,63.0,229767.0,0.8214849921011058,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033871.png,230008.0,143.0,40.0,209.0,0.9992050080150832,-1.0,-1.0,-1.0,-1.0,138.0,29.0,139.0,230094.0,0.45098039215686275,-1.0,-1.0,-1.0,-1.0,52.0,30.0,23.0,230295.0,0.49523809523809526,-1.0,-1.0,-1.0,-1.0
033872.png,229471.0,202.0,102.0,625.0,0.9986769665977587,-1.0,-1.0,-1.0,-1.0,625.0,102.0,202.0,229471.0,0.6727664155005382,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033873.png,229695.0,69.0,57.0,579.0,0.9994517472293655,-1.0,-1.0,-1.0,-1.0,22.0,90.0,40.0,230248.0,0.14473684210526316,-1.0,-1.0,-1.0,-1.0,493.0,31.0,93.0,229783.0,0.7990275526742301,-1.0,-1.0,-1.0,-1.0
033874.png,229693.0,116.0,81.0,510.0,0.9991430684240289,-1.0,-1.0,-1.0,-1.0,344.0,78.0,131.0,229847.0,0.6220614828209765,-1.0,-1.0,-1.0,-1.0,111.0,58.0,40.0,230191.0,0.5311004784688995,-1.0,-1.0,-1.0,-1.0
033875.png,229233.0,44.0,140.0,983.0,0.9991979670207526,-1.0,-1.0,-1.0,-1.0,26.0,100.0,4.0,230270.0,0.2,-1.0,-1.0,-1.0,-1.0,931.0,66.0,66.0,229337.0,0.8758231420507996,-1.0,-1.0,-1.0,-1.0
033876.png,229409.0,54.0,65.0,872.0,0.9994815447352828,-1.0,-1.0,-1.0,-1.0,114.0,89.0,17.0,230180.0,0.5181818181818182,-1.0,-1.0,-1.0,-1.0,705.0,29.0,90.0,229576.0,0.8555825242718447,-1.0,-1.0,-1.0,-1.0
